x,pname,y,lo,md,hi
0,prob0,0.580057006524152,0.567435727277769,0.60010887801375,0.635244088524498
0,prob1,0.296340989970841,0.274716595608536,0.302211330154391,0.328694659898012
0,prob2,0.120312538726212,0.0846009705184619,0.102617318809658,0.124987983617818
0.0328515,prob0,0.579804652187435,0.566903626248564,0.599570102958575,0.634503388518779
0.0328515,prob1,0.296563081928991,0.275115014550831,0.302447110121746,0.328771323848947
0.0328515,prob2,0.12041880656026,0.0848665306171661,0.102854650919999,0.12514182300467
0.065703,prob0,0.579552254881334,0.56637137086812,0.599031082108368,0.633762052106103
0.065703,prob1,0.296785270055238,0.275513791315596,0.302682996459902,0.32884799700914
0.065703,prob2,0.120525155899814,0.085132846651048,0.103104195115058,0.125295824870405
0.0985545,prob0,0.579299812624485,0.565838962314037,0.598491816209276,0.633020083172947
0.0985545,prob1,0.297007554158173,0.275912924734528,0.302918988692048,0.32892467952403
0.0985545,prob2,0.120631587638074,0.08539992006953,0.103354275507753,0.125449989730666
0.131406,prob0,0.579047322419616,0.565306401762377,0.597952305759201,0.632277486062878
0.131406,prob1,0.297229933984394,0.276312413223012,0.303155086151244,0.329001371610628
0.131406,prob2,0.120738103082053,0.0856677522163303,0.103604892884511,0.125604318300701
0.1642576,prob0,0.578794779510758,0.564773688765928,0.597412549370524,0.631534263303322
0.1642576,prob1,0.297452409897364,0.276712256006834,0.303391288704146,0.329078073789161
0.1642576,prob2,0.12084470426789,0.08593634514946,0.103856048787807,0.125758811961697
0.1971091,prob0,0.578542180484165,0.564240827741023,0.596872550348983,0.630790424647016
0.1971091,prob1,0.297674980169746,0.277112448261654,0.303627593879215,0.329154785947283
0.1971091,prob2,0.120951392653345,0.0862056983697876,0.104107742456599,0.125913470874988
0.2299606,prob0,0.57828951868149,0.563822776928673,0.596323979820475,0.630045973487923
0.2299606,prob1,0.297897645048174,0.277512988424701,0.303917802610703,0.32923150873915
0.2299606,prob2,0.121058171055548,0.0864758137278676,0.104393087068043,0.126068296799551
0.2628121,prob0,0.578036787299937,0.563428885316301,0.595730567660825,0.629300915898963
0.2628121,prob1,0.298120404046146,0.277913873336309,0.304224536318892,0.329308242649718
0.2628121,prob2,0.121165042344142,0.0867466921571567,0.1046866292785,0.126223291207262
0.2956636,prob0,0.577783978648743,0.563034894276114,0.595134229043438,0.628555258360767
0.2956636,prob1,0.298343256622546,0.27831509946539,0.304531433392844,0.329467315761616
0.2956636,prob2,0.121272009756548,0.0870183344917389,0.104984836543853,0.126378455748796
0.3285151,prob0,0.577531084174109,0.562640799660614,0.594481472283822,0.627809007751893
0.3285151,prob1,0.298566202183088,0.278716662918294,0.30483849054751,0.329640549072687
0.3285151,prob2,0.121379076888936,0.0872907414676234,0.105287870073913,0.126533792249529
0.3613666,prob0,0.577278094483903,0.56224659687517,0.593828384522881,0.627062171339055
0.3613666,prob1,0.298789240081753,0.279118559447619,0.305145704193668,0.329813820849447
0.3613666,prob2,0.121486247687239,0.0875639137240541,0.105591681411822,0.126689302705446
0.3942181,prob0,0.577024999372149,0.561852280891019,0.593174968761081,0.626314756767395
0.3942181,prob1,0.299012369622201,0.279520784460985,0.30545052086634,0.329987129574117
0.3942181,prob2,0.121593526438241,0.0878378518048286,0.105896270484547,0.126844989279086
0.4270696,prob0,0.576771787843292,0.561457846258158,0.592521228068612,0.625566772050777
0.4270696,prob1,0.299235590059189,0.27992333302976,0.305733836321504,0.33016047361506
0.4270696,prob2,0.121700917760709,0.0881125561596288,0.106166682530445,0.127000854295491
0.4599212,prob0,0.576518447364878,0.561063285916886,0.591867163592055,0.6248182232827
0.4599212,prob1,0.299458901279863,0.280326201124562,0.305980073006487,0.330326488794393
0.4599212,prob2,0.121808426924034,0.0883880279850623,0.106424019083926,0.127156900713463
0.4927727,prob0,0.576264966976432,0.560668596015013,0.591273993034182,0.624069123742674
0.4927727,prob1,0.299682301085838,0.280729380717616,0.306161803889828,0.330440022133834
0.4927727,prob2,0.121916058530102,0.0886642658695444,0.106681903874148,0.127313130220998
2.9,prob0,0.55635087585907,0.526301229123837,0.551020117276347,0.570988380888516
2.9,prob1,0.316230070600369,0.303089230594161,0.3252426019963,0.343506725748239
2.9,prob2,0.130557867962944,0.110378416569286,0.126071233614843,0.142473917826494
3,prob0,0.555423943960595,0.524853901365618,0.549228524541244,0.568731901716713
3,prob1,0.316922141234244,0.303725034408286,0.325905934298056,0.3443374182691
3,prob2,0.130968750879607,0.111524560740836,0.126973675719558,0.143028185918983
3.1,prob0,0.554485570254332,0.523585239758886,0.547794369453674,0.566336107370462
3.1,prob1,0.317614335613166,0.304360163357219,0.326323025834964,0.345164825024951
3.1,prob2,0.131385484747637,0.112426923833252,0.127805026875024,0.143586976414584
